2021.2.19 15:16,Start,,,,,,,
2021.2.19 15:16,End,,,,,,,
,,,,,,,,
,,,,,,,,
Time (s),X,Y,Z,|V|,MAx,MAy,MAz,MAv
0,-0.696734,7.735902,6.955369,10.426254,-0.697,7.736,6.955,10.426
0.011,-0.821236,7.819702,6.328068,10.092899,-0.728,7.757,6.799,10.343
0.021,-0.816448,7.884347,5.940196,9.905324,-0.758,7.794,6.545,10.213
0.032,-0.895459,7.877164,5.794145,9.819556,-0.807,7.829,6.254,10.061
0.04,-1.04151,7.814913,5.739077,9.751646,-0.894,7.849,5.95,9.892
0.052,-0.967287,7.817307,5.640912,9.688438,-0.93,7.848,5.779,9.791
0.06,-1.005595,7.714354,5.614574,9.594056,-0.977,7.806,5.697,9.713
0.07,-1.055875,7.70717,5.442187,9.493827,-1.018,7.763,5.609,9.632
0.08,-1.031932,7.829278,5.257827,9.487214,-1.015,7.767,5.489,9.566
0.091,-1.031932,7.893924,5.157268,9.485586,-1.031,7.786,5.368,9.515
0.1,-1.012778,7.80773,5.437398,9.568263,-1.033,7.81,5.324,9.509
0.11,-0.854756,7.762239,5.808511,9.73251,-0.983,7.823,5.415,9.568
0.121,-0.72786,7.656891,6.160469,9.854397,-0.907,7.78,5.641,9.66
0.131,-0.703917,7.609005,6.361588,9.942951,-0.825,7.709,5.942,9.775
0.14,-0.718282,7.6114,6.263423,9.883309,-0.751,7.66,6.148,9.853
0.15,-0.713494,7.654497,6.153286,9.846996,-0.716,7.633,6.235,9.882
0.16,-0.718282,7.695199,5.921041,9.736054,-0.713,7.643,6.175,9.852
0.172,-0.768562,7.771816,5.767808,9.708729,-0.73,7.683,6.026,9.794
0.18,-0.790111,7.817307,5.818088,9.776744,-0.748,7.735,5.915,9.767
0.191,-0.739831,7.846038,5.952167,9.876029,-0.754,7.783,5.865,9.774
0.2,-0.835602,7.786181,6.126949,9.942956,-0.784,7.805,5.916,9.826
0.211,-0.849968,7.714354,6.344828,10.024497,-0.804,7.791,6.061,9.905
0.22,-0.847573,7.632948,6.421445,10.010755,-0.818,7.745,6.211,9.964
0.231,-0.814053,7.606611,6.313703,9.918974,-0.837,7.685,6.302,9.974
0.24,-0.708705,7.546754,6.184412,9.782776,-0.805,7.625,6.316,9.934
0.252,-0.636877,7.592246,6.012024,9.705269,-0.752,7.595,6.233,9.854
0.26,-0.723071,7.654497,6.023995,9.767429,-0.721,7.6,6.134,9.794
0.27,-0.682368,7.721536,6.038361,9.825963,-0.688,7.629,6.065,9.77
0.28,-0.598569,7.767027,6.112584,9.901953,-0.66,7.684,6.047,9.8
0.292,-0.766168,7.767027,6.138921,9.929757,-0.693,7.728,6.078,9.856
0.3,-0.735042,7.786181,6.196383,9.977979,-0.696,7.76,6.122,9.909
0.31,-0.720677,7.728719,6.225114,9.950102,-0.705,7.762,6.168,9.94
0.32,-0.782928,7.668862,6.359194,9.993186,-0.751,7.738,6.23,9.963
0.331,-0.814053,7.661679,6.330462,9.971899,-0.763,7.711,6.278,9.973
0.34,-0.816448,7.647314,6.119766,9.828506,-0.784,7.677,6.259,9.936
0.351,-0.761379,7.625765,5.921041,9.684561,-0.794,7.651,6.183,9.87
0.36,-0.706311,7.573091,5.760625,9.541247,-0.775,7.627,6.033,9.757
0.371,-0.629694,7.525206,5.92583,9.598995,-0.728,7.593,5.932,9.663
0.38,-0.675186,7.496474,6.179623,9.738621,-0.693,7.555,5.947,9.641
0.39,-0.600963,7.467743,6.368771,9.833087,-0.653,7.516,6.059,9.678
0.399,-0.636877,7.563514,6.541159,10.019936,-0.636,7.513,6.254,9.798
0.411,-0.672791,7.522811,6.67045,10.076718,-0.646,7.513,6.44,9.917
0.419,-0.663214,7.546754,6.696786,10.111395,-0.643,7.525,6.569,10.01
0.43,-0.735042,7.539571,6.639324,10.073036,-0.677,7.543,6.637,10.07
0.439,-0.794899,7.520417,6.591439,10.03173,-0.716,7.532,6.65,10.073
0.45,-0.684763,7.486897,6.593833,10.000058,-0.719,7.523,6.63,10.054
0.459,-0.545895,7.474926,6.567496,9.965165,-0.69,7.505,6.598,10.017
0.469,-0.521952,7.46056,6.543553,9.937328,-0.637,7.486,6.574,9.984
0.479,-0.548289,7.553937,6.402291,9.917253,-0.575,7.494,6.527,9.955
0.491,-0.658426,7.589851,6.275394,9.870154,-0.569,7.52,6.447,9.922
0.499,-0.665608,7.582668,6.237086,9.84079,-0.599,7.547,6.365,9.891
0.509,-0.612934,7.587457,6.263423,9.857772,-0.621,7.578,6.295,9.871
0.52,-0.392661,7.6114,6.407079,9.956819,-0.582,7.593,6.296,9.881
0.531,-0.615329,7.570697,6.493273,9.992831,-0.572,7.588,6.35,9.912
0.539,-0.682368,7.826884,6.45257,10.166681,-0.576,7.649,6.404,9.994
0.549,-0.794899,7.903501,6.371165,10.182777,-0.621,7.728,6.431,10.075
0.559,-0.984047,7.903501,6.373559,10.200781,-0.769,7.801,6.423,10.136
